security,date,monthly_return,monthly_return_f1
AZO US Equity,2022-03-31,0.09723675666392961,-0.04358352326639203
AZO US Equity,2022-04-29,-0.04358352326639203,0.05327619446987164
AZO US Equity,2022-05-31,0.05327619446987164,0.04343941931881612
AZO US Equity,2022-06-30,0.04343941931881612,-0.005458047945205435
AZO US Equity,2022-07-29,-0.005458047945205435,-0.008505700878173816
AZO US Equity,2022-08-31,-0.008505700878173816,0.010720976212833966
AZO US Equity,2022-09-30,0.010720976212833966,0.18252230465047892
AZO US Equity,2022-10-31,0.18252230465047892,0.018208521524904375
AZO US Equity,2022-11-30,0.018208521524904375,-0.04374563784412566
AZO US Equity,2022-12-30,-0.04374563784412566,-0.01108191616183729
AZO US Equity,2023-01-31,-0.01108191616183729,0.01955429813231646
AZO US Equity,2023-02-28,0.01955429813231646,-0.011417471667457546
AZO US Equity,2023-03-31,-0.011417471667457546,0.08346113947480815
AZO US Equity,2023-04-28,0.08346113947480815,-0.10380691695671918
AZO US Equity,2023-05-31,-0.10380691695671918,0.04462804377335727
AZO US Equity,2023-06-30,0.04462804377335727,-0.004668399268457191
AZO US Equity,2023-07-31,-0.004668399268457191,0.019990168109214723
AZO US Equity,2023-08-31,0.019990168109214723,0.003421126443411193
BKNG US Equity,2000-01-31,,-0.03556034482758619
BKNG US Equity,2000-02-29,-0.03556034482758619,0.4301675977653632
BKNG US Equity,2000-03-31,0.4301675977653632,-0.20937499999999998
BKNG US Equity,2000-04-28,-0.20937499999999998,-0.3972332015810277
BKNG US Equity,2000-05-31,-0.3972332015810277,-0.003689617486338781
BKNG US Equity,2000-06-30,-0.003689617486338781,-0.378033048713066
BKNG US Equity,2000-07-31,-0.378033048713066,0.1507936507936507
BKNG US Equity,2000-08-31,0.1507936507936507,-0.5632183908045977
BKNG US Equity,2000-09-29,-0.5632183908045977,-0.5157894736842106
BKNG US Equity,2000-10-31,-0.5157894736842106,-0.5652173913043479
BKNG US Equity,2000-11-30,-0.5652173913043479,-0.475
BKNG US Equity,2000-12-29,-0.475,1.0237460317460316
BKNG US Equity,2001-01-31,1.0237460317460316,0.01179644851603201
BKNG US Equity,2014-01-31,-0.015063661390227079,0.17813938456969658
BKNG US Equity,2014-02-28,0.17813938456969658,-0.11635924201536119
BKNG US Equity,2014-03-31,-0.11635924201536119,-0.028643582880970686
BKNG US Equity,2014-04-30,-0.028643582880970686,0.1044094148132153
BKNG US Equity,2014-05-30,0.1044094148132153,-0.05914924567701374
BKNG US Equity,2014-06-30,-0.05914924567701374,0.0327930174563591
BKNG US Equity,2014-07-31,0.0327930174563591,0.0014970421344921991
BKNG US Equity,2014-08-29,0.0014970421344921991,-0.0688976219752313
BKNG US Equity,2014-09-30,-0.0688976219752313,0.041110669958052126
BKNG US Equity,2014-10-31,0.041110669958052126,-0.03815256049941551
BKNG US Equity,2014-11-28,-0.03815256049941551,-0.017221317198045205
BKNG US Equity,2014-12-31,-0.017221317198045205,-0.11465431806421622
BKNG US Equity,2015-01-30,-0.11465431806421622,0.22585885802591443
BKNG US Equity,2015-02-27,0.22585885802591443,-0.05925752335391277
